id,name
12554,两个月
12555,每天
12556,两天
12557,2天
12558,一天
12559,四年
12560,三年
12561,几天
12562,8天
12563,9个月
12564,半个月
12565,三天
12566,四天
12567,10年
12568,8年
12569,一年
12570,一个月
12571,6个月
12572,四个月
12573,5年
12574,整天
12575,几年
12576,两年
12577,7天
12578,十年
12579,两周
12580,八九年
12581,一周
12582,4周
12583,半年
12584,三个月
12585,2年
12586,6年
12587,9年
12588,五六个月
12589,5个月
12590,2个月
12591,3个月
12592,3周
12593,一两年
12594,六七年
12595,七八年
12596,五六天
12597,3天
12598,10天
12599,7年
12600,1个月
12601,七天
12602,4天
12603,3年
12604,四周
12605,五天
12606,1年
12607,整夜
12608,几个月
12609,五六年
12610,4年
12611,1周
12612,整晚
12613,6天
12614,7个月
12615,三四天
12616,两三天
12617,两三年
12618,十天
12619,5天
12620,1天
12621,天天
12622,每晚
12623,一两个月
12624,六年
12625,九年
12626,8个月
12627,10个月
12628,4个月
12629,5周
12630,五年
12631,十个月
12632,八年
12633,9天
12634,五个月
12635,八天
12636,七年
12637,两三个月
12638,六个月
12639,三四年
12640,2周
12641,四五年
12642,夜夜
12643,三四个月
12644,六天
12645,七八天
12646,一两周
12647,八个月
12648,九个月
12649,三周
12650,七个月
12651,六周
12652,九天
12653,半天
12654,整个月
12655,四五个月
12656,七八个月
12657,6周
12658,8周
12659,9周
12660,几周
12661,7周
12662,一两天
12663,四五天
12664,整年
12665,五周
12666,10周
12667,整周
12668,十周
12669,整月
12670,八周
12671,八九天
12672,两三周
12673,每夜
