from_id,property5,to_id
1,hasPhysicalSymptom,10291
1,hasPhysicalSymptom,10292
1,hasPhysicalSymptom,10293
2,hasPhysicalSymptom,10294
3,hasPhysicalSymptom,10295
4,hasPhysicalSymptom,10296
5,hasPhysicalSymptom,10297
5,hasPhysicalSymptom,10298
5,hasPhysicalSymptom,10295
5,hasPhysicalSymptom,10299
5,hasPhysicalSymptom,10300
5,hasPhysicalSymptom,10301
5,hasPhysicalSymptom,10302
6,hasPhysicalSymptom,10303
6,hasPhysicalSymptom,10304
6,hasPhysicalSymptom,10292
7,hasPhysicalSymptom,10305
7,hasPhysicalSymptom,10304
7,hasPhysicalSymptom,10306
7,hasPhysicalSymptom,10307
7,hasPhysicalSymptom,10308
7,hasPhysicalSymptom,10309
9,hasPhysicalSymptom,10310
9,hasPhysicalSymptom,10311
9,hasPhysicalSymptom,10312
9,hasPhysicalSymptom,10313
10,hasPhysicalSymptom,10314
10,hasPhysicalSymptom,10315
11,hasPhysicalSymptom,10304
12,hasPhysicalSymptom,10316
12,hasPhysicalSymptom,10317
12,hasPhysicalSymptom,10318
13,hasPhysicalSymptom,10294
13,hasPhysicalSymptom,10319
14,hasPhysicalSymptom,10320
15,hasPhysicalSymptom,10294
17,hasPhysicalSymptom,10321
17,hasPhysicalSymptom,10294
18,hasPhysicalSymptom,10322
18,hasPhysicalSymptom,10313
19,hasPhysicalSymptom,10293
20,hasPhysicalSymptom,10323
20,hasPhysicalSymptom,10324
20,hasPhysicalSymptom,10302
21,hasPhysicalSymptom,10315
21,hasPhysicalSymptom,10309
23,hasPhysicalSymptom,10292
23,hasPhysicalSymptom,10325
23,hasPhysicalSymptom,10294
23,hasPhysicalSymptom,10313
25,hasPhysicalSymptom,10309
25,hasPhysicalSymptom,10326
25,hasPhysicalSymptom,10321
26,hasPhysicalSymptom,10302
28,hasPhysicalSymptom,10327
29,hasPhysicalSymptom,10294
29,hasPhysicalSymptom,10315
29,hasPhysicalSymptom,10328
30,hasPhysicalSymptom,10294
32,hasPhysicalSymptom,10307
33,hasPhysicalSymptom,10329
33,hasPhysicalSymptom,10330
33,hasPhysicalSymptom,10331
34,hasPhysicalSymptom,10332
35,hasPhysicalSymptom,10333
35,hasPhysicalSymptom,10294
36,hasPhysicalSymptom,10294
36,hasPhysicalSymptom,10315
36,hasPhysicalSymptom,10291
36,hasPhysicalSymptom,10314
36,hasPhysicalSymptom,10330
37,hasPhysicalSymptom,10323
37,hasPhysicalSymptom,10334
37,hasPhysicalSymptom,10322
37,hasPhysicalSymptom,10291
38,hasPhysicalSymptom,10294
38,hasPhysicalSymptom,10315
38,hasPhysicalSymptom,10314
38,hasPhysicalSymptom,10291
38,hasPhysicalSymptom,10335
