from_id,property8,to_id
1,hasCauseEffect,12139
1,hasCauseEffect,12140
1,hasCauseEffect,12141
1,hasCauseEffect,12142
1,hasCauseEffect,12143
5,hasCauseEffect,12139
7,hasCauseEffect,12144
10,hasCauseEffect,12145
10,hasCauseEffect,12141
10,hasCauseEffect,12146
19,hasCauseEffect,12141
19,hasCauseEffect,12147
21,hasCauseEffect,12142
21,hasCauseEffect,12148
22,hasCauseEffect,12141
22,hasCauseEffect,12142
23,hasCauseEffect,12149
32,hasCauseEffect,12150
36,hasCauseEffect,12151
36,hasCauseEffect,12141
38,hasCauseEffect,12141
40,hasCauseEffect,12152
40,hasCauseEffect,12153
40,hasCauseEffect,12154
43,hasCauseEffect,12147
46,hasCauseEffect,12155
46,hasCauseEffect,12156
46,hasCauseEffect,12157
46,hasCauseEffect,12158
46,hasCauseEffect,12145
46,hasCauseEffect,12159
46,hasCauseEffect,12160
46,hasCauseEffect,12141
46,hasCauseEffect,12161
46,hasCauseEffect,12162
46,hasCauseEffect,12163
46,hasCauseEffect,12140
46,hasCauseEffect,12164
46,hasCauseEffect,12165
46,hasCauseEffect,12166
46,hasCauseEffect,12144
47,hasCauseEffect,12140
50,hasCauseEffect,12167
50,hasCauseEffect,12168
53,hasCauseEffect,12145
56,hasCauseEffect,12159
58,hasCauseEffect,12142
61,hasCauseEffect,12148
61,hasCauseEffect,12169
62,hasCauseEffect,12142
62,hasCauseEffect,12141
75,hasCauseEffect,12142
75,hasCauseEffect,12140
75,hasCauseEffect,12141
75,hasCauseEffect,12170
75,hasCauseEffect,12144
79,hasCauseEffect,12171
79,hasCauseEffect,12140
81,hasCauseEffect,12172
89,hasCauseEffect,12143
89,hasCauseEffect,12141
92,hasCauseEffect,12167
92,hasCauseEffect,12155
92,hasCauseEffect,12141
92,hasCauseEffect,12173
92,hasCauseEffect,12174
92,hasCauseEffect,12139
95,hasCauseEffect,12171
96,hasCauseEffect,12144
97,hasCauseEffect,12167
97,hasCauseEffect,12159
104,hasCauseEffect,12158
104,hasCauseEffect,12152
105,hasCauseEffect,12141
107,hasCauseEffect,12175
109,hasCauseEffect,12141
109,hasCauseEffect,12148
112,hasCauseEffect,12141
112,hasCauseEffect,12142
116,hasCauseEffect,12176
117,hasCauseEffect,12177
123,hasCauseEffect,12169
123,hasCauseEffect,12141
124,hasCauseEffect,12168
124,hasCauseEffect,12154
124,hasCauseEffect,12172
130,hasCauseEffect,12159
130,hasCauseEffect,12141
137,hasCauseEffect,12178
143,hasCauseEffect,12141
143,hasCauseEffect,12142
146,hasCauseEffect,12141
150,hasCauseEffect,12141
152,hasCauseEffect,12158
157,hasCauseEffect,12168
157,hasCauseEffect,12161
157,hasCauseEffect,12140
157,hasCauseEffect,12144
158,hasCauseEffect,12148
165,hasCauseEffect,12142
165,hasCauseEffect,12141
166,hasCauseEffect,12158
171,hasCauseEffect,12142
175,hasCauseEffect,12140
176,hasCauseEffect,12141
176,hasCauseEffect,12169
176,hasCauseEffect,12139
177,hasCauseEffect,12155
189,hasCauseEffect,12176
191,hasCauseEffect,12141
193,hasCauseEffect,12179
193,hasCauseEffect,12167
194,hasCauseEffect,12140
195,hasCauseEffect,12180
197,hasCauseEffect,12148
198,hasCauseEffect,12140
198,hasCauseEffect,12160
202,hasCauseEffect,12143
204,hasCauseEffect,12181
205,hasCauseEffect,12155
208,hasCauseEffect,12142
210,hasCauseEffect,12182
210,hasCauseEffect,12183
210,hasCauseEffect,12142
210,hasCauseEffect,12140
210,hasCauseEffect,12139
212,hasCauseEffect,12141
213,hasCauseEffect,12141
214,hasCauseEffect,12140
214,hasCauseEffect,12143
214,hasCauseEffect,12172
218,hasCauseEffect,12142
220,hasCauseEffect,12184
220,hasCauseEffect,12144
220,hasCauseEffect,12140
220,hasCauseEffect,12161
223,hasCauseEffect,12185
223,hasCauseEffect,12142
223,hasCauseEffect,12141
227,hasCauseEffect,12148
228,hasCauseEffect,12169
228,hasCauseEffect,12141
235,hasCauseEffect,12141
236,hasCauseEffect,12186
237,hasCauseEffect,12155
242,hasCauseEffect,12153
245,hasCauseEffect,12187
247,hasCauseEffect,12172
248,hasCauseEffect,12144
249,hasCauseEffect,12140
250,hasCauseEffect,12188
251,hasCauseEffect,12143
251,hasCauseEffect,12141
253,hasCauseEffect,12154
255,hasCauseEffect,12189
256,hasCauseEffect,12190
257,hasCauseEffect,12143
257,hasCauseEffect,12191
257,hasCauseEffect,12177
257,hasCauseEffect,12168
257,hasCauseEffect,12140
260,hasCauseEffect,12141
262,hasCauseEffect,12192
262,hasCauseEffect,12149
262,hasCauseEffect,12193
262,hasCauseEffect,12166
266,hasCauseEffect,12157
266,hasCauseEffect,12142
269,hasCauseEffect,12169
272,hasCauseEffect,12194
272,hasCauseEffect,12144
276,hasCauseEffect,12142
278,hasCauseEffect,12195
284,hasCauseEffect,12196
284,hasCauseEffect,12140
