from_id,property10,to_id
2,last,12554
2,last,12555
3,last,12556
3,last,12557
3,last,12558
5,last,12559
5,last,12560
6,last,12561
6,last,12562
7,last,12563
7,last,12564
9,last,12560
9,last,12558
9,last,12565
9,last,12566
9,last,12567
10,last,12568
10,last,12564
10,last,12569
10,last,12570
12,last,12555
12,last,12566
13,last,12561
14,last,12571
17,last,12558
17,last,12564
17,last,12570
18,last,12560
19,last,12572
19,last,12557
20,last,12573
20,last,12574
20,last,12569
21,last,12575
21,last,12560
21,last,12566
21,last,12576
21,last,12558
23,last,12577
23,last,12556
23,last,12567
24,last,12578
25,last,12579
27,last,12580
29,last,12555
29,last,12568
29,last,12570
29,last,12554
32,last,12576
32,last,12559
36,last,12581
38,last,12561
39,last,12556
40,last,12582
40,last,12555
41,last,12570
41,last,12583
41,last,12556
41,last,12566
42,last,12584
42,last,12555
42,last,12564
43,last,12565
43,last,12555
44,last,12573
44,last,12585
45,last,12556
46,last,12570
46,last,12585
47,last,12586
47,last,12583
47,last,12568
47,last,12587
47,last,12569
48,last,12555
49,last,12587
49,last,12588
50,last,12561
50,last,12566
52,last,12556
53,last,12568
53,last,12570
54,last,12589
54,last,12590
54,last,12591
54,last,12592
55,last,12576
55,last,12555
55,last,12558
56,last,12593
56,last,12594
56,last,12555
56,last,12595
56,last,12561
57,last,12596
57,last,12556
57,last,12558
59,last,12570
59,last,12597
59,last,12555
59,last,12598
59,last,12577
59,last,12561
60,last,12599
60,last,12569
60,last,12568
61,last,12568
61,last,12555
61,last,12600
61,last,12591
61,last,12589
62,last,12587
62,last,12575
62,last,12555
62,last,12565
64,last,12599
64,last,12587
65,last,12558
65,last,12555
66,last,12569
67,last,12560
68,last,12575
68,last,12581
69,last,12570
70,last,12555
71,last,12565
72,last,12583
73,last,12560
74,last,12569
75,last,12595
75,last,12583
75,last,12556
76,last,12569
76,last,12555
76,last,12574
77,last,12599
77,last,12586
80,last,12601
84,last,12583
85,last,12554
86,last,12602
86,last,12555
88,last,12569
89,last,12602
89,last,12555
89,last,12556
90,last,12561
92,last,12575
92,last,12573
92,last,12592
93,last,12603
96,last,12568
96,last,12555
97,last,12561
100,last,12555
101,last,12555
102,last,12604
102,last,12582
102,last,12561
103,last,12569
103,last,12605
103,last,12555
103,last,12565
104,last,12592
105,last,12586
105,last,12601
105,last,12558
107,last,12576
107,last,12581
107,last,12564
110,last,12602
110,last,12556
110,last,12555
111,last,12606
111,last,12555
112,last,12591
114,last,12569
117,last,12587
117,last,12558
117,last,12569
117,last,12570
117,last,12581
120,last,12561
121,last,12607
121,last,12556
121,last,12558
122,last,12554
123,last,12555
126,last,12595
130,last,12578
130,last,12558
131,last,12555
133,last,12561
135,last,12584
137,last,12555
137,last,12564
138,last,12599
138,last,12569
141,last,12608
142,last,12570
143,last,12556
143,last,12609
143,last,12583
144,last,12610
144,last,12561
145,last,12611
145,last,12556
145,last,12612
145,last,12613
146,last,12576
146,last,12558
146,last,12570
148,last,12565
148,last,12556
149,last,12572
150,last,12614
150,last,12602
150,last,12608
150,last,12555
151,last,12587
151,last,12610
153,last,12586
153,last,12576
153,last,12615
153,last,12561
154,last,12610
156,last,12583
156,last,12556
158,last,12579
160,last,12565
160,last,12558
162,last,12565
162,last,12556
165,last,12561
165,last,12574
165,last,12568
165,last,12616
165,last,12569
166,last,12617
166,last,12558
166,last,12608
166,last,12616
166,last,12583
168,last,12576
170,last,12561
175,last,12583
176,last,12555
177,last,12587
178,last,12583
179,last,12583
180,last,12572
186,last,12566
186,last,12605
187,last,12587
187,last,12558
189,last,12579
189,last,12555
190,last,12587
190,last,12592
190,last,12581
190,last,12555
190,last,12558
192,last,12568
192,last,12583
193,last,12565
193,last,12583
194,last,12618
194,last,12619
194,last,12555
194,last,12605
195,last,12561
196,last,12574
197,last,12575
197,last,12569
199,last,12568
199,last,12558
199,last,12607
199,last,12585
199,last,12620
199,last,12621
200,last,12576
201,last,12570
201,last,12576
201,last,12555
202,last,12608
204,last,12555
204,last,12561
204,last,12581
205,last,12569
205,last,12564
205,last,12622
205,last,12558
207,last,12608
209,last,12561
209,last,12584
210,last,12568
210,last,12587
210,last,12555
210,last,12556
210,last,12569
211,last,12555
211,last,12570
212,last,12583
215,last,12561
215,last,12581
217,last,12554
218,last,12586
218,last,12569
218,last,12555
218,last,12597
218,last,12576
218,last,12608
218,last,12613
219,last,12555
221,last,12573
221,last,12555
221,last,12587
221,last,12564
221,last,12599
221,last,12569
221,last,12561
221,last,12558
222,last,12570
222,last,12555
225,last,12590
225,last,12600
225,last,12561
225,last,12558
227,last,12565
227,last,12618
227,last,12570
227,last,12555
228,last,12556
228,last,12561
228,last,12581
228,last,12558
229,last,12555
229,last,12569
231,last,12608
231,last,12555
232,last,12569
233,last,12603
233,last,12606
234,last,12555
235,last,12600
235,last,12578
235,last,12570
235,last,12609
237,last,12599
237,last,12586
238,last,12565
239,last,12576
240,last,12558
242,last,12599
244,last,12554
244,last,12555
244,last,12560
245,last,12565
245,last,12570
245,last,12564
245,last,12623
246,last,12554
248,last,12554
248,last,12581
248,last,12597
250,last,12555
250,last,12581
251,last,12575
251,last,12586
251,last,12568
254,last,12612
255,last,12568
255,last,12621
255,last,12564
255,last,12561
256,last,12555
257,last,12561
257,last,12621
257,last,12581
258,last,12555
258,last,12561
259,last,12612
259,last,12621
259,last,12624
260,last,12576
260,last,12586
260,last,12561
261,last,12590
262,last,12560
266,last,12625
268,last,12583
268,last,12607
268,last,12619
272,last,12570
272,last,12607
272,last,12621
273,last,12568
273,last,12621
274,last,12555
276,last,12598
276,last,12620
276,last,12579
276,last,12626
277,last,12555
278,last,12569
278,last,12585
278,last,12575
279,last,12576
280,last,12555
282,last,12583
282,last,12556
284,last,12575
284,last,12561
289,last,12581
292,last,12599
292,last,12591
294,last,12574
294,last,12554
294,last,12555
295,last,12569
296,last,12559
297,last,12576
299,last,12558
301,last,12575
302,last,12607
302,last,12576
302,last,12623
302,last,12584
303,last,12578
303,last,12561
303,last,12570
304,last,12558
306,last,12599
306,last,12569
307,last,12591
309,last,12575
310,last,12627
310,last,12569
311,last,12628
312,last,12570
312,last,12558
312,last,12564
312,last,12618
313,last,12568
314,last,12618
314,last,12555
315,last,12561
316,last,12567
316,last,12562
316,last,12568
316,last,12554
318,last,12590
318,last,12568
318,last,12608
318,last,12597
320,last,12590
320,last,12591
320,last,12622
322,last,12561
325,last,12583
326,last,12629
326,last,12569
326,last,12576
326,last,12583
327,last,12561
327,last,12579
328,last,12599
332,last,12568
332,last,12569
332,last,12573
333,last,12608
334,last,12621
335,last,12570
336,last,12555
336,last,12578
337,last,12587
337,last,12606
337,last,12599
338,last,12575
339,last,12575
339,last,12555
340,last,12570
340,last,12579
340,last,12555
341,last,12590
341,last,12613
343,last,12583
346,last,12599
348,last,12575
350,last,12583
352,last,12569
352,last,12575
352,last,12564
352,last,12558
352,last,12561
352,last,12621
353,last,12618
354,last,12586
356,last,12603
356,last,12630
356,last,12581
356,last,12601
356,last,12621
358,last,12573
358,last,12560
358,last,12579
359,last,12570
361,last,12555
362,last,12608
362,last,12583
363,last,12555
365,last,12584
365,last,12597
365,last,12570
366,last,12581
367,last,12569
367,last,12607
369,last,12600
370,last,12584
371,last,12555
371,last,12561
371,last,12601
372,last,12569
372,last,12574
372,last,12583
372,last,12570
372,last,12554
374,last,12561
374,last,12566
374,last,12558
374,last,12556
374,last,12555
378,last,12575
378,last,12600
378,last,12558
378,last,12569
378,last,12583
378,last,12570
379,last,12575
379,last,12600
379,last,12558
379,last,12569
379,last,12583
379,last,12570
380,last,12569
380,last,12583
384,last,12576
384,last,12599
384,last,12583
385,last,12599
385,last,12583
386,last,12572
386,last,12556
387,last,12631
387,last,12632
388,last,12583
388,last,12555
388,last,12556
388,last,12561
390,last,12610
390,last,12554
390,last,12581
392,last,12569
392,last,12598
392,last,12555
392,last,12554
393,last,12583
395,last,12619
396,last,12586
396,last,12558
396,last,12555
397,last,12608
398,last,12610
398,last,12570
398,last,12599
398,last,12558
399,last,12558
399,last,12590
399,last,12591
399,last,12586
400,last,12603
400,last,12573
401,last,12585
401,last,12570
401,last,12620
401,last,12569
402,last,12555
402,last,12581
402,last,12585
402,last,12618
403,last,12624
403,last,12573
403,last,12633
404,last,12555
404,last,12591
405,last,12573
405,last,12586
405,last,12583
405,last,12554
405,last,12555
405,last,12565
406,last,12560
406,last,12558
406,last,12556
409,last,12628
409,last,12561
409,last,12591
410,last,12584
410,last,12554
411,last,12584
411,last,12634
413,last,12586
413,last,12608
413,last,12554
415,last,12583
416,last,12595
416,last,12610
416,last,12583
416,last,12573
417,last,12570
417,last,12573
419,last,12576
419,last,12634
419,last,12554
420,last,12575
420,last,12555
421,last,12606
422,last,12573
422,last,12569
425,last,12603
426,last,12583
426,last,12576
428,last,12569
429,last,12566
429,last,12558
430,last,12610
430,last,12581
430,last,12561
430,last,12573
430,last,12591
432,last,12621
433,last,12576
433,last,12608
433,last,12555
434,last,12586
437,last,12578
437,last,12610
437,last,12575
437,last,12558
438,last,12569
439,last,12567
439,last,12608
442,last,12561
442,last,12612
443,last,12569
444,last,12585
444,last,12591
444,last,12569
444,last,12631
445,last,12599
445,last,12575
445,last,12610
445,last,12573
445,last,12586
445,last,12555
446,last,12555
446,last,12578
447,last,12602
448,last,12583
449,last,12572
450,last,12576
451,last,12567
451,last,12570
451,last,12575
453,last,12618
455,last,12572
456,last,12560
457,last,12603
457,last,12583
457,last,12610
457,last,12564
457,last,12591
458,last,12622
458,last,12610
458,last,12573
458,last,12555
458,last,12569
459,last,12555
