from_id,property2,to_id
1,hasMentalSymptom,9037
1,hasMentalSymptom,9038
1,hasMentalSymptom,9039
1,hasMentalSymptom,9040
1,hasMentalSymptom,9041
2,hasMentalSymptom,9042
2,hasMentalSymptom,9043
2,hasMentalSymptom,9044
2,hasMentalSymptom,9045
2,hasMentalSymptom,9046
3,hasMentalSymptom,9038
3,hasMentalSymptom,9047
4,hasMentalSymptom,9048
5,hasMentalSymptom,9038
5,hasMentalSymptom,9049
5,hasMentalSymptom,9050
5,hasMentalSymptom,9037
5,hasMentalSymptom,9051
5,hasMentalSymptom,9052
5,hasMentalSymptom,9041
6,hasMentalSymptom,9053
6,hasMentalSymptom,9054
6,hasMentalSymptom,9055
8,hasMentalSymptom,9038
8,hasMentalSymptom,9056
8,hasMentalSymptom,9057
8,hasMentalSymptom,9041
8,hasMentalSymptom,9058
8,hasMentalSymptom,9059
9,hasMentalSymptom,9060
9,hasMentalSymptom,9037
10,hasMentalSymptom,9061
10,hasMentalSymptom,9041
10,hasMentalSymptom,9062
12,hasMentalSymptom,9038
13,hasMentalSymptom,9037
13,hasMentalSymptom,9038
13,hasMentalSymptom,9063
13,hasMentalSymptom,9064
16,hasMentalSymptom,9065
17,hasMentalSymptom,9054
18,hasMentalSymptom,9038
19,hasMentalSymptom,9038
20,hasMentalSymptom,9065
20,hasMentalSymptom,9066
20,hasMentalSymptom,9067
20,hasMentalSymptom,9068
21,hasMentalSymptom,9037
21,hasMentalSymptom,9038
21,hasMentalSymptom,9069
21,hasMentalSymptom,9070
21,hasMentalSymptom,9042
21,hasMentalSymptom,9071
23,hasMentalSymptom,9054
23,hasMentalSymptom,9041
23,hasMentalSymptom,9072
25,hasMentalSymptom,9073
26,hasMentalSymptom,9059
26,hasMentalSymptom,9038
28,hasMentalSymptom,9074
28,hasMentalSymptom,9054
29,hasMentalSymptom,9054
29,hasMentalSymptom,9050
29,hasMentalSymptom,9041
29,hasMentalSymptom,9075
29,hasMentalSymptom,9058
30,hasMentalSymptom,9038
30,hasMentalSymptom,9059
30,hasMentalSymptom,9043
30,hasMentalSymptom,9076
32,hasMentalSymptom,9045
32,hasMentalSymptom,9041
33,hasMentalSymptom,9068
33,hasMentalSymptom,9071
35,hasMentalSymptom,9077
36,hasMentalSymptom,9057
36,hasMentalSymptom,9041
36,hasMentalSymptom,9054
36,hasMentalSymptom,9058
36,hasMentalSymptom,9039
37,hasMentalSymptom,9037
37,hasMentalSymptom,9038
38,hasMentalSymptom,9057
38,hasMentalSymptom,9041
38,hasMentalSymptom,9058
38,hasMentalSymptom,9078
38,hasMentalSymptom,9039
39,hasMentalSymptom,9059
