from_id,property7,to_id
1,sufferPart,11387
1,sufferPart,11388
1,sufferPart,11389
1,sufferPart,11390
2,sufferPart,11391
4,sufferPart,11392
4,sufferPart,11393
5,sufferPart,11394
5,sufferPart,11395
5,sufferPart,11396
5,sufferPart,11392
5,sufferPart,11397
7,sufferPart,11398
7,sufferPart,11399
7,sufferPart,11400
7,sufferPart,11401
7,sufferPart,11402
7,sufferPart,11403
7,sufferPart,11404
7,sufferPart,11405
7,sufferPart,11406
9,sufferPart,11407
9,sufferPart,11406
9,sufferPart,11408
9,sufferPart,11409
10,sufferPart,11409
11,sufferPart,11396
12,sufferPart,11410
14,sufferPart,11396
14,sufferPart,11411
15,sufferPart,11412
15,sufferPart,11413
19,sufferPart,11414
20,sufferPart,11415
20,sufferPart,11416
20,sufferPart,11417
20,sufferPart,11418
21,sufferPart,11388
21,sufferPart,11396
22,sufferPart,11419
22,sufferPart,11388
23,sufferPart,11412
23,sufferPart,11415
26,sufferPart,11413
27,sufferPart,11387
28,sufferPart,11420
28,sufferPart,11398
29,sufferPart,11421
31,sufferPart,11388
32,sufferPart,11413
33,sufferPart,11415
33,sufferPart,11422
33,sufferPart,11423
34,sufferPart,11414
34,sufferPart,11424
35,sufferPart,11418
35,sufferPart,11425
35,sufferPart,11388
35,sufferPart,11426
35,sufferPart,11409
36,sufferPart,11413
36,sufferPart,11392
36,sufferPart,11427
36,sufferPart,11428
36,sufferPart,11429
38,sufferPart,11413
38,sufferPart,11430
38,sufferPart,11431
38,sufferPart,11427
38,sufferPart,11428
38,sufferPart,11425
39,sufferPart,11432
39,sufferPart,11433
40,sufferPart,11434
40,sufferPart,11435
41,sufferPart,11436
41,sufferPart,11437
41,sufferPart,11388
41,sufferPart,11399
43,sufferPart,11395
44,sufferPart,11438
44,sufferPart,11388
44,sufferPart,11418
44,sufferPart,11439
44,sufferPart,11395
44,sufferPart,11412
44,sufferPart,11440
45,sufferPart,11388
46,sufferPart,11401
46,sufferPart,11392
46,sufferPart,11393
48,sufferPart,11441
49,sufferPart,11396
49,sufferPart,11442
49,sufferPart,11443
49,sufferPart,11440
50,sufferPart,11413
51,sufferPart,11444
52,sufferPart,11388
52,sufferPart,11392
53,sufferPart,11388
53,sufferPart,11445
54,sufferPart,11418
55,sufferPart,11441
55,sufferPart,11409
55,sufferPart,11439
56,sufferPart,11388
57,sufferPart,11413
57,sufferPart,11388
58,sufferPart,11388
58,sufferPart,11413
58,sufferPart,11395
58,sufferPart,11396
59,sufferPart,11446
59,sufferPart,11413
59,sufferPart,11388
59,sufferPart,11398
59,sufferPart,11392
59,sufferPart,11393
59,sufferPart,11412
59,sufferPart,11429
59,sufferPart,11447
60,sufferPart,11439
61,sufferPart,11411
61,sufferPart,11413
61,sufferPart,11428
61,sufferPart,11448
62,sufferPart,11449
62,sufferPart,11430
63,sufferPart,11388
64,sufferPart,11396
64,sufferPart,11394
64,sufferPart,11450
65,sufferPart,11396
65,sufferPart,11423
65,sufferPart,11388
65,sufferPart,11416
65,sufferPart,11451
66,sufferPart,11388
67,sufferPart,11396
67,sufferPart,11423
67,sufferPart,11431
67,sufferPart,11415
68,sufferPart,11413
68,sufferPart,11433
69,sufferPart,11403
69,sufferPart,11452
69,sufferPart,11388
70,sufferPart,11413
70,sufferPart,11453
71,sufferPart,11423
71,sufferPart,11388
72,sufferPart,11452
73,sufferPart,11388
73,sufferPart,11413
74,sufferPart,11396
75,sufferPart,11454
75,sufferPart,11443
76,sufferPart,11415
76,sufferPart,11433
76,sufferPart,11413
76,sufferPart,11455
76,sufferPart,11456
76,sufferPart,11447
77,sufferPart,11433
77,sufferPart,11412
79,sufferPart,11457
79,sufferPart,11458
80,sufferPart,11459
80,sufferPart,11415
80,sufferPart,11456
80,sufferPart,11443
80,sufferPart,11423
81,sufferPart,11459
84,sufferPart,11388
84,sufferPart,11415
86,sufferPart,11443
87,sufferPart,11460
88,sufferPart,11388
88,sufferPart,11461
88,sufferPart,11396
88,sufferPart,11462
88,sufferPart,11395
89,sufferPart,11388
89,sufferPart,11419
89,sufferPart,11420
90,sufferPart,11388
